Id,IndicatorCode,SpatialDimension,WorldBankIncomeGroup,TimeDimension,TimeDim,DisaggregatingDimension1,Sex,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,Prevalence,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
15438559,NCD_BMI_30A,COUNTRY,SDF,YEAR,1990,SEX,Female,,,,,,,3.5 [1.9-5.9],3.5,1.9,5.9,,2017-01-05T16:10:33Z,1990,1990-01-01,1990-12-31
15438562,NCD_BMI_30A,COUNTRY,SDF,YEAR,1993,SEX,Female,,,,,,,4.2 [2.4-6.7],4.2,2.4,6.7,,2017-01-05T16:10:33Z,1993,1993-01-01,1993-12-31
15438959,NCD_BMI_30A,COUNTRY,SDF,YEAR,1984,SEX,Female,,,,,,,2.7 [1.2-4.9],2.7,1.2,4.9,,2017-01-05T16:11:02Z,1984,1984-01-01,1984-12-31
15438960,NCD_BMI_30A,COUNTRY,SDF,YEAR,1976,SEX,Female,,,,,,,1.9 [0.6-4.2],1.9,0.6,4.2,,2017-01-05T16:11:02Z,1976,1976-01-01,1976-12-31
15439342,NCD_BMI_30A,COUNTRY,SDF,YEAR,1995,SEX,Female,,,,,,,4.7 [2.7-7.3],4.7,2.7,7.3,,2017-01-05T16:11:27Z,1995,1995-01-01,1995-12-31
15439375,NCD_BMI_30A,COUNTRY,SDF,YEAR,1996,SEX,Female,,,,,,,5.0 [2.9-7.6],5.0,2.9,7.6,,2017-01-05T16:11:30Z,1996,1996-01-01,1996-12-31
15439376,NCD_BMI_30A,COUNTRY,SDF,YEAR,2012,SEX,Female,,,,,,,10.8 [6.9-15.8],10.8,6.9,15.8,,2017-01-05T16:11:30Z,2012,2012-01-01,2012-12-31
15439398,NCD_BMI_30A,COUNTRY,SDF,YEAR,1987,SEX,Female,,,,,,,3.0 [1.5-5.3],3.0,1.5,5.3,,2017-01-05T16:11:31Z,1987,1987-01-01,1987-12-31
15439765,NCD_BMI_30A,COUNTRY,SDF,YEAR,2004,SEX,Female,,,,,,,7.4 [4.8-10.9],7.4,4.8,10.9,,2017-01-05T16:11:57Z,2004,2004-01-01,2004-12-31
15439766,NCD_BMI_30A,COUNTRY,SDF,YEAR,1988,SEX,Female,,,,,,,3.2 [1.6-5.4],3.2,1.6,5.4,,2017-01-05T16:11:57Z,1988,1988-01-01,1988-12-31
15439767,NCD_BMI_30A,COUNTRY,SDF,YEAR,1979,SEX,Female,,,,,,,2.2 [0.8-4.5],2.2,0.8,4.5,,2017-01-05T16:11:57Z,1979,1979-01-01,1979-12-31
15440423,NCD_BMI_30A,COUNTRY,SDF,YEAR,1977,SEX,Male,,,,,,,0.7 [0.2-1.9],0.7,0.2,1.9,,2017-01-05T16:12:46Z,1977,1977-01-01,1977-12-31
15440424,NCD_BMI_30A,COUNTRY,SDF,YEAR,1992,SEX,Male,,,,,,,1.4 [0.6-2.6],1.4,0.6,2.6,,2017-01-05T16:12:46Z,1992,1992-01-01,1992-12-31
15440425,NCD_BMI_30A,COUNTRY,SDF,YEAR,2003,SEX,Male,,,,,,,2.4 [1.2-4.0],2.4,1.2,4.0,,2017-01-05T16:12:46Z,2003,2003-01-01,2003-12-31
15440778,NCD_BMI_30A,COUNTRY,SDF,YEAR,1986,SEX,Male,,,,,,,1.1 [0.4-2.2],1.1,0.4,2.2,,2017-01-05T16:13:13Z,1986,1986-01-01,1986-12-31
15441257,NCD_BMI_30A,COUNTRY,SDF,YEAR,1980,SEX,Male,,,,,,,0.8 [0.3-2.0],0.8,0.3,2.0,,2017-01-05T16:13:52Z,1980,1980-01-01,1980-12-31
15441258,NCD_BMI_30A,COUNTRY,SDF,YEAR,1989,SEX,Male,,,,,,,1.2 [0.5-2.4],1.2,0.5,2.4,,2017-01-05T16:13:52Z,1989,1989-01-01,1989-12-31
15441259,NCD_BMI_30A,COUNTRY,SDF,YEAR,1991,SEX,Male,,,,,,,1.3 [0.5-2.6],1.3,0.5,2.6,,2017-01-05T16:13:52Z,1991,1991-01-01,1991-12-31
15441260,NCD_BMI_30A,COUNTRY,SDF,YEAR,1997,SEX,Male,,,,,,,1.8 [0.8-3.2],1.8,0.8,3.2,,2017-01-05T16:13:52Z,1997,1997-01-01,1997-12-31
15441653,NCD_BMI_30A,COUNTRY,SDF,YEAR,1985,SEX,Male,,,,,,,1.0 [0.4-2.2],1.0,0.4,2.2,,2017-01-05T16:14:21Z,1985,1985-01-01,1985-12-31
15441654,NCD_BMI_30A,COUNTRY,SDF,YEAR,2009,SEX,Male,,,,,,,3.3 [1.7-5.4],3.3,1.7,5.4,,2017-01-05T16:14:21Z,2009,2009-01-01,2009-12-31
15441655,NCD_BMI_30A,COUNTRY,SDF,YEAR,2012,SEX,Male,,,,,,,3.8 [2.0-6.5],3.8,2.0,6.5,,2017-01-05T16:14:21Z,2012,2012-01-01,2012-12-31
15442443,NCD_BMI_30A,COUNTRY,SDF,YEAR,2008,SEX,Male,,,,,,,3.1 [1.6-5.2],3.1,1.6,5.2,,2017-01-05T16:15:14Z,2008,2008-01-01,2008-12-31
15442444,NCD_BMI_30A,COUNTRY,SDF,YEAR,2014,SEX,Male,,,,,,,4.2 [2.1-7.3],4.2,2.1,7.3,,2017-01-05T16:15:14Z,2014,2014-01-01,2014-12-31
15442633,NCD_BMI_30A,COUNTRY,SDF,YEAR,2013,SEX,Female,,,,,,,11.3 [7.2-16.6],11.3,7.2,16.6,,2017-01-05T16:15:25Z,2013,2013-01-01,2013-12-31
15443385,NCD_BMI_30A,COUNTRY,SDF,YEAR,1991,SEX,Female,,,,,,,3.7 [2.0-6.1],3.7,2.0,6.1,,2017-01-05T16:16:11Z,1991,1991-01-01,1991-12-31
15443496,NCD_BMI_30A,COUNTRY,SDF,YEAR,1977,SEX,Female,,,,,,,2.0 [0.7-4.3],2.0,0.7,4.3,,2017-01-05T16:16:18Z,1977,1977-01-01,1977-12-31
15443497,NCD_BMI_30A,COUNTRY,SDF,YEAR,1985,SEX,Female,,,,,,,2.8 [1.3-5.0],2.8,1.3,5.0,,2017-01-05T16:16:18Z,1985,1985-01-01,1985-12-31
15443498,NCD_BMI_30A,COUNTRY,SDF,YEAR,2000,SEX,Female,,,,,,,6.1 [3.8-9.2],6.1,3.8,9.2,,2017-01-05T16:16:18Z,2000,2000-01-01,2000-12-31
15443499,NCD_BMI_30A,COUNTRY,SDF,YEAR,2002,SEX,Female,,,,,,,6.8 [4.3-10.0],6.8,4.3,10.0,,2017-01-05T16:16:18Z,2002,2002-01-01,2002-12-31
15445146,NCD_BMI_30A,COUNTRY,SDF,YEAR,1983,SEX,Male,,,,,,,1.0 [0.3-2.1],1.0,0.3,2.1,,2017-01-05T16:17:33Z,1983,1983-01-01,1983-12-31
15445147,NCD_BMI_30A,COUNTRY,SDF,YEAR,2000,SEX,Male,,,,,,,2.0 [1.0-3.6],2.0,1.0,3.6,,2017-01-05T16:17:33Z,2000,2000-01-01,2000-12-31
15445148,NCD_BMI_30A,COUNTRY,SDF,YEAR,2005,SEX,Male,,,,,,,2.6 [1.4-4.4],2.6,1.4,4.4,,2017-01-05T16:17:33Z,2005,2005-01-01,2005-12-31
15445149,NCD_BMI_30A,COUNTRY,SDF,YEAR,2006,SEX,Male,,,,,,,2.8 [1.5-4.6],2.8,1.5,4.6,,2017-01-05T16:17:33Z,2006,2006-01-01,2006-12-31
15445423,NCD_BMI_30A,COUNTRY,SDF,YEAR,1980,SEX,Female,,,,,,,2.3 [0.9-4.5],2.3,0.9,4.5,,2017-01-05T16:17:45Z,1980,1980-01-01,1980-12-31
15445424,NCD_BMI_30A,COUNTRY,SDF,YEAR,2005,SEX,Female,,,,,,,7.8 [5.0-11.3],7.8,5.0,11.3,,2017-01-05T16:17:45Z,2005,2005-01-01,2005-12-31
15445425,NCD_BMI_30A,COUNTRY,SDF,YEAR,2014,SEX,Female,,,,,,,11.7 [7.4-17.4],11.7,7.4,17.4,,2017-01-05T16:17:45Z,2014,2014-01-01,2014-12-31
15445592,NCD_BMI_30A,COUNTRY,SDF,YEAR,1986,SEX,Female,,,,,,,2.9 [1.4-5.1],2.9,1.4,5.1,,2017-01-05T16:17:51Z,1986,1986-01-01,1986-12-31
15445593,NCD_BMI_30A,COUNTRY,SDF,YEAR,1989,SEX,Female,,,,,,,3.4 [1.7-5.7],3.4,1.7,5.7,,2017-01-05T16:17:51Z,1989,1989-01-01,1989-12-31
15445594,NCD_BMI_30A,COUNTRY,SDF,YEAR,1997,SEX,Female,,,,,,,5.2 [3.1-8.0],5.2,3.1,8.0,,2017-01-05T16:17:51Z,1997,1997-01-01,1997-12-31
15445595,NCD_BMI_30A,COUNTRY,SDF,YEAR,2003,SEX,Female,,,,,,,7.1 [4.5-10.4],7.1,4.5,10.4,,2017-01-05T16:17:51Z,2003,2003-01-01,2003-12-31
15445596,NCD_BMI_30A,COUNTRY,SDF,YEAR,2006,SEX,Female,,,,,,,8.2 [5.3-11.8],8.2,5.3,11.8,,2017-01-05T16:17:51Z,2006,2006-01-01,2006-12-31
15446108,NCD_BMI_30A,COUNTRY,SDF,YEAR,1994,SEX,Female,,,,,,,4.4 [2.5-7.0],4.4,2.5,7.0,,2017-01-05T16:18:11Z,1994,1994-01-01,1994-12-31
15446191,NCD_BMI_30A,COUNTRY,SDF,YEAR,1982,SEX,Female,,,,,,,2.5 [1.1-4.7],2.5,1.1,4.7,,2017-01-05T16:18:14Z,1982,1982-01-01,1982-12-31
15446192,NCD_BMI_30A,COUNTRY,SDF,YEAR,1983,SEX,Female,,,,,,,2.6 [1.1-4.8],2.6,1.1,4.8,,2017-01-05T16:18:14Z,1983,1983-01-01,1983-12-31
15446193,NCD_BMI_30A,COUNTRY,SDF,YEAR,2008,SEX,Female,,,,,,,9.0 [5.8-13.0],9.0,5.8,13.0,,2017-01-05T16:18:14Z,2008,2008-01-01,2008-12-31
15446194,NCD_BMI_30A,COUNTRY,SDF,YEAR,2009,SEX,Female,,,,,,,9.4 [6.1-13.6],9.4,6.1,13.6,,2017-01-05T16:18:14Z,2009,2009-01-01,2009-12-31
16028944,NCD_BMI_30A,REGION,AFR,YEAR,1975,SEX,BothSexes,,,,,,,2.0 [1.4-2.8],2.0,1.4,2.8,,2017-09-22T09:24:36Z,1975,1975-01-01,1975-12-31
16028945,NCD_BMI_30A,REGION,AFR,YEAR,1976,SEX,BothSexes,,,,,,,2.1 [1.5-2.9],2.1,1.5,2.9,,2017-09-22T09:24:36Z,1976,1976-01-01,1976-12-31
16028946,NCD_BMI_30A,REGION,AFR,YEAR,1977,SEX,BothSexes,,,,,,,2.2 [1.5-2.9],2.2,1.5,2.9,,2017-09-22T09:24:36Z,1977,1977-01-01,1977-12-31
16028947,NCD_BMI_30A,REGION,AFR,YEAR,1978,SEX,BothSexes,,,,,,,2.3 [1.6-3.0],2.3,1.6,3.0,,2017-09-22T09:24:36Z,1978,1978-01-01,1978-12-31
16028948,NCD_BMI_30A,REGION,AFR,YEAR,1979,SEX,BothSexes,,,,,,,2.3 [1.7-3.1],2.3,1.7,3.1,,2017-09-22T09:24:36Z,1979,1979-01-01,1979-12-31
16028949,NCD_BMI_30A,REGION,AFR,YEAR,1980,SEX,BothSexes,,,,,,,2.5 [1.8-3.2],2.5,1.8,3.2,,2017-09-22T09:24:36Z,1980,1980-01-01,1980-12-31
16028950,NCD_BMI_30A,REGION,AFR,YEAR,1981,SEX,BothSexes,,,,,,,2.6 [2.0-3.3],2.6,2.0,3.3,,2017-09-22T09:24:36Z,1981,1981-01-01,1981-12-31
16028951,NCD_BMI_30A,REGION,AFR,YEAR,1982,SEX,BothSexes,,,,,,,2.7 [2.1-3.4],2.7,2.1,3.4,,2017-09-22T09:24:36Z,1982,1982-01-01,1982-12-31
16028952,NCD_BMI_30A,REGION,AFR,YEAR,1983,SEX,BothSexes,,,,,,,2.8 [2.2-3.5],2.8,2.2,3.5,,2017-09-22T09:24:36Z,1983,1983-01-01,1983-12-31
16028953,NCD_BMI_30A,REGION,AFR,YEAR,1984,SEX,BothSexes,,,,,,,2.9 [2.3-3.6],2.9,2.3,3.6,,2017-09-22T09:24:36Z,1984,1984-01-01,1984-12-31
16028954,NCD_BMI_30A,REGION,AFR,YEAR,1985,SEX,BothSexes,,,,,,,3.1 [2.5-3.7],3.1,2.5,3.7,,2017-09-22T09:24:36Z,1985,1985-01-01,1985-12-31
16028955,NCD_BMI_30A,REGION,AFR,YEAR,1986,SEX,BothSexes,,,,,,,3.2 [2.6-3.9],3.2,2.6,3.9,,2017-09-22T09:24:36Z,1986,1986-01-01,1986-12-31
16028956,NCD_BMI_30A,REGION,AFR,YEAR,1987,SEX,BothSexes,,,,,,,3.4 [2.8-4.0],3.4,2.8,4.0,,2017-09-22T09:24:36Z,1987,1987-01-01,1987-12-31
16028957,NCD_BMI_30A,REGION,AFR,YEAR,1988,SEX,BothSexes,,,,,,,3.5 [2.9-4.2],3.5,2.9,4.2,,2017-09-22T09:24:36Z,1988,1988-01-01,1988-12-31
16028958,NCD_BMI_30A,REGION,AFR,YEAR,1989,SEX,BothSexes,,,,,,,3.7 [3.1-4.3],3.7,3.1,4.3,,2017-09-22T09:24:36Z,1989,1989-01-01,1989-12-31
16028959,NCD_BMI_30A,REGION,AFR,YEAR,1990,SEX,BothSexes,,,,,,,3.9 [3.3-4.5],3.9,3.3,4.5,,2017-09-22T09:24:36Z,1990,1990-01-01,1990-12-31
16028960,NCD_BMI_30A,REGION,AFR,YEAR,1991,SEX,BothSexes,,,,,,,4.0 [3.5-4.7],4.0,3.5,4.7,,2017-09-22T09:24:36Z,1991,1991-01-01,1991-12-31
16028961,NCD_BMI_30A,REGION,AFR,YEAR,1992,SEX,BothSexes,,,,,,,4.2 [3.7-4.8],4.2,3.7,4.8,,2017-09-22T09:24:36Z,1992,1992-01-01,1992-12-31
16028962,NCD_BMI_30A,REGION,AFR,YEAR,1993,SEX,BothSexes,,,,,,,4.4 [3.9-5.0],4.4,3.9,5.0,,2017-09-22T09:24:36Z,1993,1993-01-01,1993-12-31
16028963,NCD_BMI_30A,REGION,AFR,YEAR,1994,SEX,BothSexes,,,,,,,4.6 [4.1-5.2],4.6,4.1,5.2,,2017-09-22T09:24:36Z,1994,1994-01-01,1994-12-31
16028964,NCD_BMI_30A,REGION,AFR,YEAR,1995,SEX,BothSexes,,,,,,,4.8 [4.3-5.4],4.8,4.3,5.4,,2017-09-22T09:24:36Z,1995,1995-01-01,1995-12-31
16028965,NCD_BMI_30A,REGION,AFR,YEAR,1996,SEX,BothSexes,,,,,,,5.1 [4.5-5.6],5.1,4.5,5.6,,2017-09-22T09:24:36Z,1996,1996-01-01,1996-12-31
16028966,NCD_BMI_30A,REGION,AFR,YEAR,1997,SEX,BothSexes,,,,,,,5.3 [4.7-5.9],5.3,4.7,5.9,,2017-09-22T09:24:36Z,1997,1997-01-01,1997-12-31
16028967,NCD_BMI_30A,REGION,AFR,YEAR,1998,SEX,BothSexes,,,,,,,5.5 [5.0-6.1],5.5,5.0,6.1,,2017-09-22T09:24:36Z,1998,1998-01-01,1998-12-31
16028968,NCD_BMI_30A,REGION,AFR,YEAR,1999,SEX,BothSexes,,,,,,,5.8 [5.2-6.3],5.8,5.2,6.3,,2017-09-22T09:24:36Z,1999,1999-01-01,1999-12-31
16028969,NCD_BMI_30A,REGION,AFR,YEAR,2000,SEX,BothSexes,,,,,,,6.0 [5.5-6.6],6.0,5.5,6.6,,2017-09-22T09:24:36Z,2000,2000-01-01,2000-12-31
16028970,NCD_BMI_30A,REGION,AFR,YEAR,2001,SEX,BothSexes,,,,,,,6.2 [5.7-6.8],6.2,5.7,6.8,,2017-09-22T09:24:36Z,2001,2001-01-01,2001-12-31
16028971,NCD_BMI_30A,REGION,AFR,YEAR,2002,SEX,BothSexes,,,,,,,6.5 [6.0-7.1],6.5,6.0,7.1,,2017-09-22T09:24:36Z,2002,2002-01-01,2002-12-31
16028972,NCD_BMI_30A,REGION,AFR,YEAR,2003,SEX,BothSexes,,,,,,,6.7 [6.2-7.3],6.7,6.2,7.3,,2017-09-22T09:24:36Z,2003,2003-01-01,2003-12-31
16028973,NCD_BMI_30A,REGION,AFR,YEAR,2004,SEX,BothSexes,,,,,,,7.0 [6.5-7.6],7.0,6.5,7.6,,2017-09-22T09:24:36Z,2004,2004-01-01,2004-12-31
16028974,NCD_BMI_30A,REGION,AFR,YEAR,2005,SEX,BothSexes,,,,,,,7.3 [6.7-7.8],7.3,6.7,7.8,,2017-09-22T09:24:36Z,2005,2005-01-01,2005-12-31
16028975,NCD_BMI_30A,REGION,AFR,YEAR,2006,SEX,BothSexes,,,,,,,7.6 [7.0-8.1],7.6,7.0,8.1,,2017-09-22T09:24:36Z,2006,2006-01-01,2006-12-31
16028976,NCD_BMI_30A,REGION,AFR,YEAR,2007,SEX,BothSexes,,,,,,,7.8 [7.3-8.4],7.8,7.3,8.4,,2017-09-22T09:24:36Z,2007,2007-01-01,2007-12-31
16028977,NCD_BMI_30A,REGION,AFR,YEAR,2008,SEX,BothSexes,,,,,,,8.1 [7.5-8.8],8.1,7.5,8.8,,2017-09-22T09:24:36Z,2008,2008-01-01,2008-12-31
16028978,NCD_BMI_30A,REGION,AFR,YEAR,2009,SEX,BothSexes,,,,,,,8.4 [7.8-9.1],8.4,7.8,9.1,,2017-09-22T09:24:36Z,2009,2009-01-01,2009-12-31
16028979,NCD_BMI_30A,REGION,AFR,YEAR,2010,SEX,BothSexes,,,,,,,8.7 [8.1-9.4],8.7,8.1,9.4,,2017-09-22T09:24:36Z,2010,2010-01-01,2010-12-31
16028980,NCD_BMI_30A,REGION,AFR,YEAR,2011,SEX,BothSexes,,,,,,,9.0 [8.3-9.7],9.0,8.3,9.7,,2017-09-22T09:24:36Z,2011,2011-01-01,2011-12-31
16028981,NCD_BMI_30A,REGION,AFR,YEAR,2012,SEX,BothSexes,,,,,,,9.3 [8.6-10.1],9.3,8.6,10.1,,2017-09-22T09:24:36Z,2012,2012-01-01,2012-12-31
16028982,NCD_BMI_30A,REGION,AFR,YEAR,2013,SEX,BothSexes,,,,,,,9.6 [8.8-10.5],9.6,8.8,10.5,,2017-09-22T09:24:37Z,2013,2013-01-01,2013-12-31
16028983,NCD_BMI_30A,REGION,AFR,YEAR,2014,SEX,BothSexes,,,,,,,9.9 [9.1-10.9],9.9,9.1,10.9,,2017-09-22T09:24:37Z,2014,2014-01-01,2014-12-31
16028984,NCD_BMI_30A,REGION,AFR,YEAR,2015,SEX,BothSexes,,,,,,,10.3 [9.3-11.3],10.3,9.3,11.3,,2017-09-22T09:24:37Z,2015,2015-01-01,2015-12-31
16028985,NCD_BMI_30A,REGION,AFR,YEAR,2016,SEX,BothSexes,,,,,,,10.6 [9.6-11.7],10.6,9.6,11.7,,2017-09-22T09:24:37Z,2016,2016-01-01,2016-12-31
16028986,NCD_BMI_30A,REGION,AMR,YEAR,1975,SEX,BothSexes,,,,,,,9.5 [7.8-11.4],9.5,7.8,11.4,,2017-09-22T09:24:37Z,1975,1975-01-01,1975-12-31
16028987,NCD_BMI_30A,REGION,AMR,YEAR,1976,SEX,BothSexes,,,,,,,9.8 [8.1-11.7],9.8,8.1,11.7,,2017-09-22T09:24:37Z,1976,1976-01-01,1976-12-31
16028988,NCD_BMI_30A,REGION,AMR,YEAR,1977,SEX,BothSexes,,,,,,,10.1 [8.5-11.9],10.1,8.5,11.9,,2017-09-22T09:24:37Z,1977,1977-01-01,1977-12-31
16028989,NCD_BMI_30A,REGION,AMR,YEAR,1978,SEX,BothSexes,,,,,,,10.5 [8.9-12.2],10.5,8.9,12.2,,2017-09-22T09:24:37Z,1978,1978-01-01,1978-12-31
16028990,NCD_BMI_30A,REGION,AMR,YEAR,1979,SEX,BothSexes,,,,,,,10.8 [9.2-12.4],10.8,9.2,12.4,,2017-09-22T09:24:37Z,1979,1979-01-01,1979-12-31
16028991,NCD_BMI_30A,REGION,AMR,YEAR,1980,SEX,BothSexes,,,,,,,11.1 [9.6-12.7],11.1,9.6,12.7,,2017-09-22T09:24:37Z,1980,1980-01-01,1980-12-31
16028992,NCD_BMI_30A,REGION,AMR,YEAR,1981,SEX,BothSexes,,,,,,,11.5 [10.0-13.1],11.5,10.0,13.1,,2017-09-22T09:24:37Z,1981,1981-01-01,1981-12-31
